Модель;Цена, долл;Пробег, мили;Год;Объём двигателя, л;Мощность, л.с;Топливо
Renault Sandero I;84835,30;4424,39;2012;1,6;84;Бензин
Renault Sandero II;13051,58;8325,47;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8872,58;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;8079,55;9919,21;2020;1,6;82;Бензин
Renault Sandero I Stepway;51274,08;5887,30;2012;1,6;84;Бензин
Renault Sandero I Stepway;102144,19;5352,09;2012;1,6;84;Бензин
Renault Sandero II Stepway;25295,21;8206,54;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг;9446,86;7611,86;2018;1,6;82;Бензин
Renault Sandero II;36668,74;7314,52;2017;1,6;113;Бензин
Renault Sandero II Stepway;53720,32;7492,93;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;51123,06;9574,29;2019;1,6;102;Бензин
Renault Sandero I Stepway;40818,52;6600,91;2014;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;16159,11;9502,93;2018;1,6;113;Бензин
Renault Sandero II Рестайлинг;40424,49;8313,58;2018;1,6;102;Бензин
Renault Sandero II Stepway;7467,99;8979,62;2017;1,6;102;Бензин
Renault Sandero II;46302,05;7671,33;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг;21752,64;7730,80;2019;1,6;82;Бензин
Renault Sandero I;78931,01;4400,61;2013;1,6;103;Бензин
Renault Sandero I;62150,40;5078,54;2012;1,6;84;Бензин
Renault Sandero II Stepway;46612,80;8051,92;2015;1,6;82;Бензин
Renault Sandero II Stepway;12740,83;8313,58;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;15537,60;11239,39;2019;1,6;102;Бензин
Renault Sandero I Stepway;78464,89;5352,09;2013;1,6;103;Бензин
Renault Sandero I;51846,49;5589,96;2012;1,6;103;Бензин
Renault Sandero I;68365,44;4697,95;2012;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;60105,03;8444,41;2019;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;10362,34;9514,83;2019;1,6;82;Бензин
Renault Sandero I;68004,97;4519,54;2012;1,6;84;Бензин
Renault Sandero II;18023,62;8741,75;2016;1,6;102;Бензин
Renault Sandero I Stepway;41019,27;5352,09;2014;1,6;103;Бензин
Renault Sandero I Stepway;45991,30;5887,30;2013;1,6;84;Бензин
Renault Sandero II Stepway;29832,19;9003,41;2016;1,6;102;Бензин
Renault Sandero I;123325,05;3270,72;2010;1,4;75;Бензин
Renault Sandero I;34679,93;5530,49;2012;1,6;103;Бензин
Renault Sandero I;78931,01;4043,80;2010;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;13673,09;9812,17;2019;1,6;113;Бензин
Renault Sandero II Stepway;32318,21;7790,26;2015;1,6;102;Бензин
Renault Sandero II Stepway;271597,27;5827,83;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10430,63;2021;1,6;82;Бензин
Renault Sandero II;23558,11;8313,58;2017;1,6;82;Бензин
Renault Sandero II Stepway;30029,83;9502,93;2018;1,6;102;Бензин
Renault Sandero I;121193,29;4757,41;2010;1,6;103;Бензин
Renault Sandero II Stepway;23314,48;9205,60;2018;1,6;102;Бензин
Renault Sandero II Stepway;36233,69;8622,81;2017;1,6;102;Бензин
Renault Sandero I;73337,48;5352,09;2014;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11227,50;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9162,22;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;19746,43;10287,91;2019;1,6;82;Бензин
Renault Sandero I Stepway;74580,48;5887,30;2012;1,6;84;Бензин
Renault Sandero I;80795,53;4222,20;2010;1,6;84;Бензин
Renault Sandero I;77688,00;4222,20;2012;1,4;75;Бензин
Renault Sandero I;86723,43;4733,63;2011;1,6;103;Бензин
Renault Sandero II Stepway;13743,94;9633,76;2017;1,6;113;Бензин
Renault Sandero I;161591,05;3211,25;2010;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;6102,55;9859,74;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;82;Бензин
Renault Sandero I;88875,08;4103,27;2013;1,4;75;Бензин
Renault Sandero I;56556,87;4341,14;2012;1,4;75;Бензин
Renault Sandero I Stepway;35717,84;6172,74;2014;1,6;84;Бензин
Renault Sandero I;69608,45;5589,96;2013;1,6;103;Бензин
Renault Sandero I Stepway;71297,08;4757,41;2011;1,6;84;Бензин
Renault Sandero I;50341,83;4816,88;2011;1,6;103;Бензин
Renault Sandero II;56867,62;6244,11;2015;1,6;82;Бензин
Renault Sandero II Stepway;24860,16;8920,15;2016;1,6;102;Бензин
Renault Sandero I;52206,34;5352,09;2014;1,6;84;Бензин
Renault Sandero I;69794,90;4995,28;2011;1,6;103;Бензин
Renault Sandero II Stepway;13331,26;6886,36;2018;1,6;82;Бензин
Renault Sandero I Stepway;127019,89;5411,56;2013;1,6;84;Бензин
Renault Sandero I Stepway;72094,47;6185,83;2012;1,6;84;Бензин
Renault Sandero I Stepway;105531,39;5471,03;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;4164,08;9158,02;2020;1,6;82;Бензин
Renault Sandero II Stepway;33312,62;9336,42;2017;1,6;113;Бензин
Renault Sandero I Stepway;29682,41;6612,80;2014;1,6;84;Бензин
Renault Sandero II;45157,24;5387,77;2015;1,6;82;Бензин
Renault Sandero I;65879,43;4745,52;2011;1,6;84;Бензин
Renault Sandero II Stepway;22193,91;8622,81;2017;1,6;82;Бензин
Renault Sandero II;31065,88;5352,09;2015;1,2;75;Бензин
Renault Sandero II Stepway;21553,14;7849,73;2015;1,6;82;Бензин
Renault Sandero II;46612,80;7611,86;2016;1,6;82;Бензин
Renault Sandero I;139838,41;4031,91;2010;1,4;75;Бензин
Renault Sandero I;67620,88;4721,73;2011;1,6;84;Бензин
Renault Sandero II Stepway;27967,68;8563,34;2017;1,6;113;Бензин
Renault Sandero I Stepway;40943,44;5768,36;2013;1,6;84;Бензин
Renault Sandero II;18645,12;8920,15;2015;1,6;102;Бензин
Renault Sandero II Stepway;24860,16;8682,28;2017;1,6;113;Бензин
Renault Sandero I;144810,44;3805,93;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг;0,00;10894,48;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero I Stepway;73337,48;6184,64;2014;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10192,76;2021;1,6;82;Бензин
Renault Sandero I;89002,49;3627,53;2012;1,4;75;Бензин
Renault Sandero II Stepway;40024,86;7790,26;2016;1,6;102;Бензин
Renault Sandero II Рестайлинг;32053,45;7017,18;2019;1,6;82;Бензин
Renault Sandero I;65257,92;4816,88;2012;1,6;103;Бензин
Renault Sandero II Stepway;24238,66;9265,06;2018;1,6;113;Бензин
Renault Sandero II Stepway;27967,68;7968,67;2014;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;10680,39;2021;1,6;102;Бензин
Renault Sandero I;22995,65;5054,75;2011;1,6;103;Бензин
Renault Sandero II;8701,06;9990,57;2018;1,6;102;Бензин
Renault Sandero I;103445,62;3865,40;2014;1,4;75;Бензин
Renault Sandero I Stepway;69741,45;5182,01;2012;1,6;103;Бензин
Renault Sandero II;55935,36;6065,70;2014;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10787,44;2021;1,6;113;Бензин
Renault Sandero II;37290,24;8313,58;2017;1,6;82;Бензин
Renault Sandero I;63558,11;4864,46;2014;1,6;84;Бензин
Renault Sandero II Stepway;24505,90;8503,88;2017;1,6;113;Бензин
Renault Sandero II Stepway;10262,27;9752,70;2018;1,6;102;Бензин
Renault Sandero I;87967,68;5471,03;2011;1,6;84;Бензин
Renault Sandero II Stepway;38060,29;8444,41;2018;1,6;82;Бензин
Renault Sandero II;35752,64;7124,23;2017;1,6;113;Бензин
Renault Sandero I;59664,39;5352,09;2013;1,6;84;Бензин
Renault Sandero I;74735,86;4341,14;2012;1,6;103;Бензин
Renault Sandero I Stepway;60445,00;5827,83;2011;1,6;84;Бензин
Renault Sandero II Stepway;51760,72;7017,18;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;8670,60;10692,29;2019;1,6;113;Бензин
Renault Sandero II;43600,99;7599,97;2017;1,6;82;Бензин
Renault Sandero I Stepway;164201,37;4935,82;2014;1,6;84;Бензин
Renault Sandero II;47125,54;7599,97;2017;1,6;82;Бензин
Renault Sandero I;74580,48;4388,71;2011;1,6;84;Бензин
Renault Sandero I Stepway;80724,05;5934,87;2011;1,6;103;Бензин
Renault Sandero II;18023,62;7909,20;2016;1,6;82;Бензин
Renault Sandero I;70285,89;5340,20;2011;1,6;103;Бензин
Renault Sandero I;71786,20;5934,87;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг;22995,65;9514,83;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11263,18;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11370,22;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12250,34;2021;1,6;102;Бензин
Renault Sandero I;78931,01;4697,95;2011;1,6;84;Бензин
Renault Sandero I;64636,42;4876,35;2013;1,6;103;Бензин
Renault Sandero II Рестайлинг;11808,58;7076,65;2018;1,6;82;Бензин
Renault Sandero I;88875,08;4269,78;2012;1,6;84;Бензин
Renault Sandero I;118085,77;3449,12;2010;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10054,40;2021;1,6;102;Бензин
Renault Sandero I;51895,59;4757,41;2012;1,6;84;Бензин
Renault Sandero II Stepway;33893,72;8087,60;2017;1,6;102;Бензин
Renault Sandero II;19463,64;6898,25;2018;1,6;82;Бензин
Renault Sandero II Stepway;32522,06;7695,12;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11310,75;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;27967,68;7718,90;2018;1,6;82;Бензин
Renault Sandero II;19266,63;6898,25;2015;1,6;82;Бензин
Renault Sandero I Stepway;44934,74;6184,64;2014;1,6;84;Бензин
Renault Sandero I;60907,40;6719,85;2013;1,6;103;Бензин
Renault Sandero I;90739,59;4460,08;2010;1,6;103;Бензин
Renault Sandero II Stepway;39776,26;8313,58;2015;1,6;102;Бензин
Renault Sandero I;51835,92;4638,48;2013;1,6;84;Бензин
Renault Sandero I;44787,45;4222,20;2011;1,6;84;Бензин
Renault Sandero II;56021,13;7124,23;2016;1,6;82;Бензин
Renault Sandero I;50287,76;4400,61;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;26724,67;8860,68;2018;1,6;82;Бензин
Renault Sandero I;56556,87;3924,87;2013;1,4;75;Бензин
Renault Sandero I;55935,36;4519,54;2012;1,4;75;Бензин
Renault Sandero II Stepway;50341,83;9455,36;2017;1,6;102;Бензин
Renault Sandero II;621,50;7968,55;2016;1,6;82;Бензин
Renault Sandero I;63275,95;3568,06;2012;1,4;75;Бензин
Renault Sandero I;65382,22;5352,09;2013;1,6;103;Бензин
Renault Sandero I;142945,93;4043,80;2012;1,6;103;Бензин
Renault Sandero II Stepway;49968,92;8075,71;2015;1,6;102;Бензин
Renault Sandero I;99440,65;5946,77;2011;1,6;103;Бензин
Renault Sandero I;97886,89;4519,54;2012;1,4;75;Бензин
Renault Sandero I;38922,93;5459,13;2013;1,6;84;Бензин
Renault Sandero II;44405,84;5934,87;2014;1,6;82;Бензин
Renault Sandero I;7893,10;5209,37;2011;1,4;75;Бензин
Renault Sandero II Stepway;26103,17;8682,28;2018;1,6;113;Бензин
Renault Sandero II Stepway;48570,54;6660,38;2016;1,6;82;Бензин
Renault Sandero I;53884,40;5233,15;2013;1,6;84;Бензин
Renault Sandero II;39219,39;5632,78;2014;1,6;82;Бензин
Renault Sandero II;22139,84;8503,89;2018;1,6;82;Бензин
Renault Sandero I;34170,29;5102,33;2013;1,6;84;Бензин
Renault Sandero I;173275,33;3687,00;2010;1,6;84;Бензин
Renault Sandero I;34100,06;4757,41;2011;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;27212,55;9502,93;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9265,06;2020;1,6;102;Бензин
Renault Sandero II Stepway;43380,98;9146,13;2018;1,6;113;Бензин
Renault Sandero II;49530,14;7491,58;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;42791,80;10347,37;2018;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10787,44;2021;1,6;113;Бензин
Renault Sandero I;85146,05;4103,27;2014;1,4;75;Бензин
Renault Sandero II Рестайлинг;51738,97;7837,84;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11691,34;2021;1,6;113;Бензин
Renault Sandero II;92085,15;6517,66;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11251,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;10204,65;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10240,33;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10359,27;2021;1,6;82;Бензин
Renault Sandero I;39962,71;5292,62;2013;1,6;84;Бензин
Renault Sandero I Stepway;107402,73;5705,92;2013;1,6;103;Бензин
Renault Sandero I Stepway;51584,84;6479,00;2014;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10359,27;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero I;113113,74;3627,53;2011;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7737,93;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7678,47;2021;1,6;113;Бензин
Renault Sandero II;24369,79;8920,15;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10466,31;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;4350,53;10573,35;2020;1,6;113;Бензин
Renault Sandero II Stepway;22995,65;8622,81;2017;1,6;113;Бензин
Renault Sandero II Stepway;21157,86;8729,85;2016;1,6;102;Бензин
Renault Sandero I;52206,34;4579,01;2012;1,6;84;Бензин
Renault Sandero II Stepway;39091,36;8135,18;2017;1,6;82;Бензин
Renault Sandero I;142336,86;4162,74;2012;1,4;75;Бензин
Renault Sandero II Stepway;36668,74;7611,86;2016;1,6;113;Бензин
Renault Sandero II;23929,77;8896,36;2016;1,6;82;Бензин
Renault Sandero I Stepway;44748,29;6660,38;2014;1,6;103;Бензин
Renault Sandero I;74580,48;4555,22;2013;1,6;84;Бензин
Renault Sandero I;77538,84;3984,33;2011;1,6;84;Бензин
Renault Sandero I;126289,62;2925,81;2010;1,4;75;Бензин
Renault Sandero I Stepway;73337,48;4150,84;2011;1,6;84;Бензин
Renault Sandero I Stepway;45080,80;6898,25;2014;1,6;84;Бензин
Renault Sandero I Stepway;85083,90;5114,22;2012;1,6;103;Бензин
Renault Sandero II Stepway;21285,27;8194,64;2016;1,6;82;Бензин
Renault Sandero I;57353,64;5934,87;2014;1,6;103;Бензин
Renault Sandero I;66656,31;4840,67;2011;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;29620,26;9802,64;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;34182,72;9693,23;2018;1,6;113;Бензин
Renault Sandero I;88594,16;5536,19;2011;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;29950,90;9457,70;2019;1,6;113;Бензин
Renault Sandero I Stepway;54692,36;5768,36;2013;1,6;103;Бензин
Renault Sandero I;54070,85;4460,08;2013;1,6;84;Бензин
Renault Sandero I;95090,12;4721,73;2013;1,6;103;Бензин
Renault Sandero I;78309,51;5233,15;2013;1,6;84;Бензин
Renault Sandero II Stepway;103858,92;6172,74;2016;1,6;113;Бензин
Renault Sandero I;68662,52;4995,28;2013;1,4;75;Бензин
Renault Sandero II Stepway;86389,06;6933,93;2017;1,6;82;Бензин
Renault Sandero I;74034,80;2973,38;2011;1,4;75;Бензин
Renault Sandero II;33138,60;6529,55;2015;1,6;82;Бензин
Renault Sandero II Stepway;59369,79;7718,90;2017;1,6;113;Бензин
Renault Sandero I Stepway;13673,09;8444,41;2014;1,6;103;Бензин
Renault Sandero II;31115,60;7314,52;2015;1,6;102;Бензин
Renault Sandero II Stepway;13154,75;9146,13;2017;1,6;82;Бензин
Renault Sandero I;83903,05;5411,56;2014;1,6;84;Бензин
Renault Sandero I;77439,40;4400,61;2014;1,6;84;Бензин
Renault Sandero I Stepway;31758,86;6006,23;2014;1,6;84;Бензин
Renault Sandero II;88875,08;8206,54;2016;1,6;102;Бензин
Renault Sandero I;111031,70;4757,41;2013;1,6;84;Бензин
Renault Sandero I;83754,51;4031,91;2011;1,4;75;Бензин
Renault Sandero II Stepway;44748,29;7730,80;2016;1,6;82;Бензин
Renault Sandero II;29824,74;7671,33;2017;1,6;82;Бензин
Renault Sandero I;60285,89;5625,64;2012;1,6;103;Бензин
Renault Sandero I;124238,66;3687,00;2012;1,4;75;Бензин
Renault Sandero I;122113,11;4567,12;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;8701,06;10287,91;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;2272,22;10692,29;2019;1,6;113;Бензин
Renault Sandero I Stepway;118528,28;4864,46;2012;1,6;84;Бензин
Renault Sandero II Stepway;35560,60;7492,93;2016;1,6;82;Бензин
Renault Sandero I Stepway;25789,31;7017,18;2013;1,6;84;Бензин
Renault Sandero I;60285,89;5102,33;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг;15154,13;9100,34;2020;1,6;82;Бензин
Renault Sandero II;42883,78;7314,52;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;8701,06;8313,58;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II;34021,75;9039,09;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10311,69;2021;1,6;82;Бензин
Renault Sandero II Stepway;40397,76;8551,45;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11251,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10311,69;2021;1,6;82;Бензин
Renault Sandero II;49661,90;7134,38;2017;1,6;82;Бензин
Renault Sandero II Stepway;31075,20;8444,41;2016;1,6;102;Бензин
Renault Sandero II;14305,16;8194,64;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9171,10;2021;1,6;102;Бензин
Renault Sandero II Stepway;49098,82;7730,80;2016;1,6;102;Бензин
Renault Sandero II Рестайлинг;3045,37;8801,22;2018;1,6;82;Бензин
Renault Sandero II;50734,62;5922,98;2014;1,2;75;Бензин
Renault Sandero II Stepway;20970,79;7754,58;2017;1,6;82;Бензин
Renault Sandero II;34804,23;8551,45;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг;24860,16;9265,06;2018;1,6;102;Бензин
Renault Sandero II Stepway;38154,75;7124,23;2014;1,6;102;Бензин
Renault Sandero II;46103,79;6779,31;2018;1,6;82;Бензин
Renault Sandero II;29210,69;8075,71;2018;1,6;102;Бензин
Renault Sandero II Stepway;20509,63;8313,58;2018;1,6;102;Бензин
Renault Sandero II;25184,59;8266,01;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг;20152,89;8444,41;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;35,43;10537,67;2020;1,6;113;Бензин
Renault Sandero II Stepway;44290,86;7373,99;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;29,21;10061,93;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;58,42;10061,93;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;4350,53;11060,99;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7401,35;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Stepway;27346,18;8491,98;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;6937,50;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8007,92;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11025,31;2021;1,6;102;Бензин
Renault Sandero II;5469,24;9514,83;2017;1,6;113;Бензин
Renault Sandero I;130515,85;4103,27;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;19386,58;8266,01;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;4972,03;10228,44;2018;1,6;82;Бензин
Renault Sandero I Stepway;38612,80;6767,42;2014;1,6;84;Бензин
Renault Sandero II;62399,63;5530,49;2015;1,6;82;Бензин
Renault Sandero I Stepway;46807,96;5697,00;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг;67122,44;7373,99;2018;1,6;82;Бензин
Renault Sandero I Stepway;44388,44;5578,07;2012;1,6;84;Бензин
Renault Sandero II Stepway;48495,34;8194,64;2015;1,6;102;Бензин
Renault Sandero II Stepway;82389,06;6529,55;2014;1,6;102;Бензин
Renault Sandero II;13881,91;7314,52;2017;1,6;82;Бензин
Renault Sandero II;49098,82;7076,65;2016;1,6;82;Бензин
Renault Sandero I;79552,52;4424,39;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero I Stepway;207534,49;4281,66;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг;0,00;7413,24;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2020;1,6;113;Бензин
Renault Sandero II Stepway;29210,69;8086,41;2017;1,6;102;Бензин
Renault Sandero II Stepway;29330,64;8420,62;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero I;59049,72;4341,14;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8983,19;2021;1,6;102;Бензин
Renault Sandero I;80795,53;4995,28;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг;0,00;7948,45;2021;1,6;102;Бензин
